4.640278695599063252e-01 1.549471945867735845e-01 9.828336616832283879e-02 7.581853509572650252e-02 1.144187586651974065e-01 1.251225481662542605e-01 1.142876326757928246e-01 1.095960036409619476e-01 9.308714069340161268e-02 1.861500038170722238e-01
1.767170520301648284e-01 1.111723393159960993e-01 5.792653982314409367e-02 3.140901370430286554e-02 2.038709567107159157e-02 1.490269950313482909e-02 1.779900889302820158e-02 1.966678333814970286e-02 2.256424896037810893e-02 3.205702724494994410e-02
1.268450983187943693e-01 7.998915466929676366e-02 4.395898453465085093e-02 2.278702718107861874e-02 1.448499425189077663e-02 9.570091581375462716e-03 6.822571733568498845e-03 4.983741343556957921e-03 4.714128859216832820e-03 8.825379828882139524e-03
1.029787250358775441e-01 5.491366311583595339e-02 5.026285783680582014e-02 2.401187826797720679e-02 1.122665051148086755e-02 7.469928596874270306e-03 4.762798495703586196e-03 3.419624647879192583e-03 3.092734242843927020e-03 3.072224494667230056e-03
1.593028562887106869e-01 7.631821743004611747e-02 4.265976904824372862e-02 2.990435136829401944e-02 1.345196714542043655e-02 9.641489748863038903e-03 6.564440756644791472e-03 4.250055890146128661e-03 3.823776873704271342e-03 2.729945197505584484e-03
4.731971646218113142e-02 1.226361411276716967e-01 2.856797689875658491e-02 1.904180106726682115e-02 9.148525299304776509e-03 6.549921219600310374e-03 4.401549397888646770e-03 2.828206551078003752e-03 2.542454221060717022e-03 1.928011543547799092e-03
3.701668442302610135e-02 1.204627374679149571e-01 4.859734949306988849e-02 1.715875866344574244e-02 1.068879770939533055e-02 6.308665856248863238e-03 5.162538473386603724e-03 3.910420436271262561e-03 3.779919187504390560e-03 2.778618533167998093e-03
3.454631098821726171e-02 9.568626074620656397e-02 5.068659634743546971e-02 1.740626530242114778e-02 9.615743101323121281e-03 5.916574495061582839e-03 4.542065775251846738e-03 3.205565450044647879e-03 2.906354213758475646e-03 1.758954452617411072e-03
2.328934946700085898e-02 5.105217032382350362e-02 5.076923859854939186e-02 1.752479690297440926e-02 1.140614826087436341e-02 5.911966450531943619e-03 3.429067671729666301e-03 2.258288049919665412e-03 1.985246199911105871e-03 1.241927978355069143e-03
3.509053774025897889e-03 2.966011598714402876e-03 2.502943970139371709e-03 2.305087111102908058e-03 1.570466045714538888e-03 9.474361060918418684e-04 6.259168301873933469e-04 3.988582497343770399e-04 3.073634763049345174e-04 1.614230974513891647e-04
